ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-07-31,245892.42517247662,205059.36692174827,302947.1533565942,245892.42517247662,245892.42517247662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04434939986874051,0.04434939986874051,0.04434939986874051,0.04434939986874051,0.04434939986874051,0.04434939986874051,0.0,0.0,0.0,256797.60666114514
2021-08-31,248945.38464739666,178554.03930210855,276475.02633201354,248945.38464739666,248945.38464739666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08374834763403334,-0.08374834763403334,-0.08374834763403334,-0.08374834763403334,-0.08374834763403334,-0.08374834763403334,0.0,0.0,0.0,228096.62003205833
2021-09-30,251899.86155860955,202969.55821407502,295715.0222771432,251899.86155860955,251899.86155860955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006489231496083609,-0.0006489231496083609,-0.0006489231496083609,-0.0006489231496083609,-0.0006489231496083609,-0.0006489231496083609,0.0,0.0,0.0,251736.397907061
2021-10-31,254952.82103352965,224258.79355400932,319029.89799650543,254952.82103352965,254952.82103352965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07077617037965503,0.07077617037965503,0.07077617037965503,0.07077617037965503,0.07077617037965503,0.07077617037965503,0.0,0.0,0.0,272997.4053337724
2021-11-30,257907.29794474252,193321.95748965436,291047.08969073906,257907.29794474252,257907.29794474252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06588242245884181,-0.06588242245884181,-0.06588242245884181,-0.06588242245884181,-0.06588242245884181,-0.06588242245884181,0.0,0.0,0.0,240915.7403863286
2021-12-31,260960.2577286108,185534.40232523027,277478.8935753854,260960.2577286108,260960.2577286108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10598358012518773,-0.10598358012518773,-0.10598358012518773,-0.10598358012518773,-0.10598358012518773,-0.10598358012518773,0.0,0.0,0.0,233302.75534414093
2022-01-31,264013.21751247905,203139.41966928504,299151.1327344859,264013.21751247905,264013.21751247905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04183336063704579,-0.04183336063704579,-0.04183336063704579,-0.04183336063704579,-0.04183336063704579,-0.04183336063704579,0.0,0.0,0.0,252968.6573713327
2022-02-28,266770.7295753278,217426.07996169623,310310.72894931777,266770.7295753278,266770.7295753278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01712583209618996,-0.01712583209618996,-0.01712583209618996,-0.01712583209618996,-0.01712583209618996,-0.01712583209618996,0.0,0.0,0.0,262202.0588524426
2022-03-31,269823.6893635006,243437.860372134,336676.67926981294,269823.6893635006,269823.6893635006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694637831940389,0.0694637831940389,0.0694637831940389,0.0694637831940389,0.0694637831940389,0.0694637831940389,0.0,0.0,0.0,288566.6636220625
2022-04-30,272778.1665778614,236735.82034410065,328551.98619518045,272778.1665778614,272778.1665778614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030963672602383235,0.030963672602383235,0.030963672602383235,0.030963672602383235,0.030963672602383235,0.030963672602383235,0.0,0.0,0.0,281224.38042085664
2022-05-31,275831.12636603415,217302.51905435976,311578.1276208382,275831.12636603415,275831.12636603415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031374765674177456,-0.031374765674177456,-0.031374765674177456,-0.031374765674177456,-0.031374765674177456,-0.031374765674177456,0.0,0.0,0.0,267176.9894106554
2022-06-30,278785.60358039493,255048.64387228346,347419.92231437034,278785.60358039493,278785.60358039493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07727374763958643,0.07727374763958643,0.07727374763958643,0.07727374763958643,0.07727374763958643,0.07727374763958643,0.0,0.0,0.0,300328.41195701616
2022-07-31,281838.5634067779,246138.19281541105,340461.12018325046,281838.5634067779,281838.5634067779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475548946803604,0.04475548946803604,0.04475548946803604,0.04475548946803604,0.04475548946803604,0.04475548946803604,0.0,0.0,0.0,294452.3862630164
