date_mvt,nb_sales,total_revenues
2015-06-12 00:00:00.000000 UTC,134,2817.2
2015-06-13 00:00:00.000000 UTC,112,2691.18
2015-06-15 00:00:00.000000 UTC,256,10032.26
2015-06-16 00:00:00.000000 UTC,207,5197.3899999999994
2015-06-17 00:00:00.000000 UTC,277,7162.0400000000009
2015-06-18 00:00:00.000000 UTC,222,6404.68
2015-06-19 00:00:00.000000 UTC,256,6690.4799999999987
2015-06-20 00:00:00.000000 UTC,50,2198.9
2015-06-22 00:00:00.000000 UTC,241,8743.53
2015-06-23 00:00:00.000000 UTC,254,8918.5500000000011
2015-06-24 00:00:00.000000 UTC,224,8181.6000000000013
2015-06-25 00:00:00.000000 UTC,266,7401.2100000000009
2015-06-26 00:00:00.000000 UTC,301,9408.99
2015-06-27 00:00:00.000000 UTC,100,2284.18
2015-06-29 00:00:00.000000 UTC,289,9095.59
2015-06-30 00:00:00.000000 UTC,500,18585.389999999996
2015-07-01 00:00:00.000000 UTC,1743,43742.322121729791
2015-07-02 00:00:00.000000 UTC,210,6388.98
2015-07-03 00:00:00.000000 UTC,213,7721.9800000000005
2015-07-04 00:00:00.000000 UTC,30,737.74000000000012
2015-07-06 00:00:00.000000 UTC,330,7144.23
2015-07-07 00:00:00.000000 UTC,336,6956.1500000000015
2015-07-08 00:00:00.000000 UTC,247,8203.52
2015-07-09 00:00:00.000000 UTC,198,7286.1
2015-07-10 00:00:00.000000 UTC,255,6616.5199999999986
2015-07-11 00:00:00.000000 UTC,347,4576.5900000000011
2015-07-13 00:00:00.000000 UTC,143,4293.36
2015-07-15 00:00:00.000000 UTC,271,6329.5499999999993
2015-07-16 00:00:00.000000 UTC,244,6605.4299999999985
2015-07-17 00:00:00.000000 UTC,158,3843.54
2015-07-18 00:00:00.000000 UTC,125,3788.08
2015-07-20 00:00:00.000000 UTC,221,5504.2599999999993
2015-07-21 00:00:00.000000 UTC,248,7383.77
2015-07-22 00:00:00.000000 UTC,344,10289.220000000001
2015-07-23 00:00:00.000000 UTC,253,6402.2799999999988
2015-07-24 00:00:00.000000 UTC,283,13609.470000000003
2015-07-25 00:00:00.000000 UTC,165,3632.2100000000005
2015-07-27 00:00:00.000000 UTC,230,8121.81
